CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
A00000000,PLC00000076,20-06-2020,06-06-2020,06-06-2020,Health,90.84,31261,Jose Bautista,"49935 Christine Cliffs
Lake Angela, AZ 48511","614 Hardy Fields Apt. 574
Weissmouth, NJ 56041",South Robert,TN,51975.0,226-21-6226,Y,52,83,Y,3,M,Own,HI,18966211,CPXS98942752443351,High School,A,Total Loss,Police,1.0,1.0,FL,Washington,8,AGENT00990,VNDR00383
A00000001,PLC00002796,24-08-2015,30-05-2020,20-06-2020,Mobile,91.16,3858,Joshua Russell,"973 Higgins Loop Apt. 207
Johnsonton, DE 94441","Unit 1953 Box 2596
DPO AA 46838",North Shawntown,AZ,19231.0,427-41-7221,Y,42,92,Y,3,L,Rent,HI,31627555,MNQU65643359105976,High School,D,Total Loss,Other,1.0,0.0,GA,Millersville,14,AGENT01067,None
A00000002,PLC00002844,01-02-2019,23-05-2020,29-05-2020,Property,167.32,13017,Timothy Garcia,"033 Brian Ways Suite 921
Port Ronaldfort, RI 06908","225 Jacqueline Islands
Russellchester, NC 69680",Fuentesmouth,AZ,22332.0,594-71-2501,Y,38,101,Y,6,L,Rent,LI,78410868,MCPC75971129992198,PhD,A,Major Loss,Police,1.0,1.0,AZ,Anchorage,19,AGENT00232,None
A00000003,PLC00004561,07-02-2020,26-06-2020,23-06-2020,Property,137.24,51482,Joshua Lawrence,"652 Lopez Views Suite 165
Port Natalieton, RI 78044","6999 Thomas Ferry
New Paulshire, PA 08407",South Christopherborough,CT,99941.0,208-24-1418,Y,31,104,Y,3,L,Rent,HI,90024352,TBTT75062190767178,High School,A,Major Loss,Police,1.0,1.0,CA,Montgomery,18,AGENT00280,VNDR00402
A00000004,PLC00009208,06-04-2017,18-06-2020,16-06-2020,Travel,199.67,15488,Sherry Orozco,"6625 James Stream Suite 356
Shawnbury, VT 46002","6234 Livingston Avenue Apt. 695
Shawnhaven, VA 72426",New Kimberlyland,AZ,40589.0,015-44-3654,Y,44,90,Y,4,M,Own,MI,14462789,JTXL13387329061971,Bachelor,A,Major Loss,Ambulance,1.0,0.0,AL,Glendale,6,AGENT00854,None
A00000005,PLC00002638,03-05-2013,26-06-2020,23-05-2020,Property,107.87,100,Courtney Delgado,"1192 Vasquez Villages Apt. 054
Port Travis, MS 82929","0421 Amanda Fields
Mcdanielville, ID 20128",Austinstad,TN,91321.0,231-87-1037,Y,25,48,Y,6,L,Rent,HI,-6952953,VOCG41231464888188,Bachelor,A,Major Loss,Police,1.0,1.0,CA,Savannah,18,AGENT00315,None
A00000006,PLC00008464,24-11-2018,17-06-2020,20-06-2020,Travel,141.41,13379,Michael Jenkins,"1773 Gardner Mills Suite 085
Elizabethside, MI 62404","901 Kara Hollow Apt. 802
Matthewmouth, GA 80621",West Tonya,AK,55043.0,884-80-9757,Y,56,89,Y,4,H,Rent,HI,25730269,PXLA28626276494047,High School,A,Total Loss,Police,0.0,1.0,CT,Millersville,6,AGENT00385,VNDR00049
A00000007,PLC00006168,27-08-2019,08-06-2020,14-06-2020,Travel,132.12,4878,Ricardo Curry,"556 Mark Divide Suite 702
Lake Shannonhaven, WV 95840","955 Wilkins Walk Apt. 967
Ashleystad, NM 69010",Stevenborough,DC,3885.0,067-92-9761,Y,37,105,Y,2,M,Own,LI,73169104,ERFZ14235263319899,High School,A,Major Loss,None,0.0,1.0,GA,Melrose,3,AGENT00478,None
A00000008,PLC00003798,14-05-2014,28-05-2020,06-06-2020,Property,77.61,54101,Charles Barry,"37452 Smith Walk
New Jennifer, AK 15117","0771 Williams Mission Suite 268
South Marcville, SC 23256",Pittmantown,FL,65809.0,128-23-9449,Y,25,65,Y,3,M,Own,HI,7685046,AUGE70520204465587,MD,A,Major Loss,Other,1.0,1.0,AR,Crownsville,9,AGENT00552,VNDR00583
A00000009,PLC00004266,24-01-2018,01-06-2020,16-06-2020,Health,197.33,21315,Martin Jenkins,"816 Wheeler Knoll
Paulland, MO 42560","998 Montgomery Points Apt. 141
Cantuchester, CO 04106",Lake Jennifer,KY,81995.0,124-70-7058,N,30,85,Y,3,M,Rent,HI,29950580,VQQL00922404158719,Bachelor,A,Minor Loss,Police,0.0,0.0,MD,Gardner,11,AGENT00216,None
A00000010,PLC00008018,28-05-2013,08-06-2020,10-06-2020,Life,102.93,8870,Edwin Sanchez,"138 Rebecca Springs
North Reginaville, IA 38795","7867 Brenda Station
Stephanieton, MD 65510",Bonniehaven,AR,28510.0,277-60-5077,N,28,63,Y,6,H,Mortgage,HI,27954401,TJZP49068365842865,Bachelor,A,Total Loss,Police,0.0,1.0,AL,Manchester,9,AGENT00005,VNDR00410
A00000011,PLC00004241,06-02-2015,26-05-2020,17-06-2020,Property,93.27,100,Olivia Blanchard,"02433 Hopkins Throughway Suite 193
New Jamesmouth, MI 29497","74092 Allison Vista
East Jeffreymouth, NV 80402",Jeffreystad,AK,2457.0,350-48-8969,Y,57,113,Y,6,L,Rent,HI,21738877,LZNN77685425155812,College,A,Major Loss,Police,0.0,1.0,CT,Nashville,0,AGENT00425,VNDR00582
A00000012,PLC00006896,24-06-2011,26-05-2020,18-06-2020,Mobile,19.66,100,Michelle Weaver,"198 Harmon Corner
Lake Sarahfurt, MO 87020","74075 Gonzalez Ville Suite 147
Ortegamouth, NC 32627",Lake Madisonmouth,KY,60627.0,824-92-1393,Y,30,93,Y,7,L,Mortgage,LI,21383525,GDJR68327201191512,Bachelor,A,Total Loss,Ambulance,1.0,0.0,AR,Louisville,9,AGENT00262,None
A00000013,PLC00003400,18-05-2014,01-07-2020,08-06-2020,Motor,199.67,100,Scott Martin,"4767 Scott Cape
Floresstad, NC 44727","776 Henry Plains
Hillmouth, CA 82300",New Philip,MA,44779.0,548-31-5757,Y,45,119,Y,3,M,Mortgage,HI,84112092,ZDOW57802114261170,High School,A,Major Loss,Police,1.0,1.0,CA,Odenton,16,AGENT00944,VNDR00404
A00000014,PLC00009583,22-08-2012,17-06-2020,11-06-2020,Travel,80.86,10278,Megan Reyes,"12251 Scott Stravenue Apt. 368
Aguilarmouth, AZ 58161","99943 Ruiz Trace
West Seth, NH 95102",Phamville,DC,39309.0,385-97-7281,Y,26,95,Y,3,L,Own,MI,18066446,NGHK25267557571387,Masters,D,Minor Loss,None,0.0,1.0,CT,Youngstown,9,AGENT00474,VNDR00019
A00000015,PLC00007190,04-04-2019,02-06-2020,10-06-2020,Mobile,147.31,1709,Julie Hanson,"667 Craig Shores
New Laurafort, TN 02794","4304 Parker Junctions
West Coreymouth, WI 12618",Andersonbury,VT,77403.0,470-07-8716,N,35,69,Y,7,M,Rent,MI,18145858,OWCG73550514165646,MD,A,Major Loss,Ambulance,0.0,1.0,AR,Oklahoma City,4,AGENT00037,VNDR00360
A00000016,PLC00008450,12-12-2018,04-06-2020,05-06-2020,Motor,151.38,9298,Natalie Smith,"5979 Hill Mission
New Joshuastad, ME 32940","32010 Lopez Mount
Franklinside, TX 34903",Edwardfurt,OK,49748.0,102-59-3519,Y,29,80,Y,2,L,Mortgage,MI,21017913,KNSM40018689776928,Bachelor,A,Minor Loss,Ambulance,1.0,1.0,AZ,Livermore,17,AGENT00929,VNDR00049
A00000017,PLC00004217,15-07-2015,09-06-2020,22-06-2020,Travel,178.66,56281,Christopher Martin,"547 Donna Meadows Suite 757
Johnnyville, VA 32551","397 Floyd Ford
East Charles, NH 76311",Humphreybury,AK,93074.0,627-25-3043,N,43,91,Y,4,M,Own,HI,96867001,ZKCU46433688437607,Masters,A,Minor Loss,None,0.0,1.0,CT,Oklahoma City,5,AGENT01055,VNDR00313
A00000018,PLC00009834,19-10-2019,19-06-2020,12-06-2020,Property,169.61,84373,Devin Smith,"USNV Fletcher
FPO AP 54751","186 Catherine Stravenue Suite 710
Stanleyville, OH 45988",Port Michaelborough,VT,92763.0,071-02-7352,N,30,79,Y,3,H,Own,HI,33346813,AKIV39496882450272,Bachelor,A,Minor Loss,Police,1.0,0.0,KY,Fitchburg,9,AGENT00392,VNDR00153
A00000019,PLC00003794,09-03-2016,29-05-2020,10-06-2020,Property,97.96,78437,Lisa Gardner,"1333 Bernard Burgs Suite 847
Stevenport, NY 46418","4109 William Estate Suite 717
Hesterville, CT 98205",East Timothy,CT,57107.0,405-71-9501,Y,28,118,Y,4,M,Mortgage,LI,25472877,KOTC60049334451772,PhD,A,Major Loss,Ambulance,0.0,1.0,VT,Washington,20,AGENT00451,VNDR00115
