CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
A00003822,PLC00008468,6/23/2015,5/16/2020,5/21/2020,Health,157.13,9000.0,Christopher Demarest,7701 West Saint John Road,#2010,Glendale,AZ,85308.0,087-11-1946,Y,54.0,89.0,Y,3.0,L,Own,LI,109134974.0,HXJP58258181908465,Bachelor,A,Major Loss,Police,0.0,1.0,GA,Savannah,4.0,AGENT00413,VNDR00556
A00008149,PLC00009594,4/21/2018,5/13/2020,5/18/2020,Property,141.71,26000.0,Ricardo Gatlin,8595 West 81st Drive,None,Arvada,CO,80005.0,685-33-3536,N,61.0,80.0,Y,4.0,L,Rent,MI,40125819.0,JUND46859540983731,Bachelor,A,Total Loss,Ambulance,1.0,0.0,AL,Montgomery,0.0,AGENT00769,VNDR00592
A00003172,PLC00007969,10/3/2019,5/21/2020,5/26/2020,Property,157.24,13000.0,Lashawn Engles,637 Britannia Drive,None,Vallejo,CA,94591.0,378-36-0672,N,47.0,68.0,Y,6.0,L,Rent,MI,99513168.0,WGZZ90128415227650,PhD,A,Total Loss,Police,0.0,1.0,CO,Grand Junction,19.0,AGENT00883,VNDR00031
A00007572,PLC00009292,11/29/2016,5/14/2020,5/19/2020,Health,172.87,16000.0,Steven Bassett,2803 River Drive,None,Thunderbolt,GA,31404.0,669-92-1861,Y,36.0,16.0,Y,7.0,L,Mortgage,MI,18429110.0,WIKE91555436351397,Masters,A,Minor Loss,Ambulance,0.0,0.0,GA,Savannah,12.0,AGENT00278,VNDR00075
A00008173,PLC00000204,12/26/2011,5/17/2020,5/22/2020,Travel,88.53,3000.0,Jason Rodriguez,7573 National Drive,None,Livermore,CA,94550.0,703-40-1033,Y,51.0,16.0,Y,2.0,M,Rent,HI,70752391.0,VYJW71311537294027,Masters,A,Major Loss,Police,0.0,1.0,TN,Nashville,18.0,AGENT00636,VNDR00472
A00003571,PLC00007244,12/28/2012,5/20/2020,5/25/2020,Life,87.02,63000.0,Terrance Han,5275 North 59th Avenue,None,Glendale,AZ,85301.0,059-08-4065,N,42.0,38.0,Y,2.0,M,Rent,MI,124246313.0,TMDB19464299963687,College,A,Major Loss,Ambulance,0.0,1.0,AZ,Glendale,0.0,AGENT00402,None
A00007245,PLC00002796,10/26/2012,5/13/2020,5/18/2020,Health,197.23,3000.0,Dennis Johnson,5119 Marla Drive,None,Panama City,FL,32404.0,539-25-2348,Y,61.0,20.0,Y,7.0,L,Rent,MI,72461648.0,ZCMU49563664563577,None,A,Major Loss,Police,1.0,1.0,CT,Manchester,10.0,AGENT00322,VNDR00150
A00004301,PLC00002925,12/30/2018,5/14/2020,5/19/2020,Motor,83.77,8000.0,Maryalice Martinez,6 Little Country Place,None,Savannah,GA,31406.0,791-66-5539,Y,35.0,97.0,Y,3.0,L,Rent,MI,89467431.0,ZLMN59372702463649,High School,A,Total Loss,Police,0.0,1.0,FL,Panama City Beach,10.0,AGENT00152,VNDR00326
A00004671,PLC00006886,6/27/2019,5/21/2020,5/26/2020,Motor,82.14,5000.0,Nicholas Hamilton,642 South 2nd Street,#608,Louisville,KY,40202.0,427-41-7221,N,27.0,118.0,Y,4.0,H,Mortgage,MI,107890252.0,EVZR61264221554624,Bachelor,A,Major Loss,Police,0.0,1.0,AZ,Glendale,22.0,AGENT00450,VNDR00437
A00002020,PLC00007657,12/19/2015,5/15/2020,5/20/2020,Travel,71.29,4000.0,Nicholas Honokaupu,1914 Stratford Downs Drive,None,Montgomery,AL,36117.0,722-69-3392,Y,61.0,119.0,Y,4.0,L,Rent,HI,16215148.0,UXQB38236110828938,PhD,A,Major Loss,None,0.0,0.0,CA,San Leandro,4.0,AGENT00682,None
A00007952,PLC00003007,3/30/2019,5/20/2020,5/25/2020,Life,61.45,92000.0,Janet Watts,200 Redwood Road,None,Manchester,CT,6040.0,233-66-3524,N,59.0,14.0,Y,7.0,M,Mortgage,MI,58804083.0,CQZQ73037026635053,Masters,A,Major Loss,Ambulance,1.0,1.0,MD,Crofton,23.0,AGENT01091,VNDR00163
A00006313,PLC00002139,7/22/2016,5/21/2020,5/26/2020,Motor,101.15,8000.0,Patricia Garrett,6721 Boundary Run,None,Nashville,TN,37221.0,224-80-1633,Y,42.0,39.0,Y,2.0,H,Own,HI,11697253.0,YGZM08271540598654,High School,D,Major Loss,Ambulance,1.0,1.0,CT,Manchester,3.0,AGENT00288,None
A00003693,PLC00007839,6/12/2019,5/24/2020,5/27/2020,Health,157.95,11000.0,Lisa Rosario,12870 Old Seward Highway,#STE 000105,Anchorage,AK,99515.0,115-30-1247,Y,57.0,118.0,Y,3.0,M,Mortgage,LI,74438433.0,NAUY34845981013549,Bachelor,A,Major Loss,None,0.0,1.0,KY,Louisville,22.0,AGENT00015,VNDR00191
A00007988,PLC00002521,1/29/2020,5/18/2020,5/23/2020,Life,64.16,51000.0,Felicita Stoughton,110 Oxford Road,None,Savannah,GA,31419.0,170-28-1062,N,31.0,118.0,Y,7.0,L,Own,LI,64537739.0,GIOA39230059052323,High School,A,Total Loss,Ambulance,1.0,0.0,AK,Anchorage,0.0,AGENT01094,None
A00005617,PLC00007011,6/8/2015,5/20/2020,5/25/2020,Mobile,6.76,700.0,David Pennington,210 Seaman,None,McCrory,AR,72101.0,519-11-2464,Y,55.0,90.0,Y,6.0,L,Mortgage,HI,93703880.0,LDQH95350551363442,PhD,A,Major Loss,Police,1.0,1.0,CO,Arvada,11.0,AGENT00324,VNDR00135
A00008033,PLC00008152,1/25/2011,5/12/2020,5/17/2020,Motor,128.73,9000.0,William Halcomb,5124 E Street Southeast,None,Washington,DC,20019.0,142-09-4530,Y,57.0,48.0,Y,2.0,L,Rent,LI,115671968.0,KNLE94705483907630,None,A,Minor Loss,Police,0.0,1.0,AR,Fayetteville,22.0,AGENT00608,VNDR00051
A00007184,PLC00000118,4/17/2014,5/13/2020,5/18/2020,Property,114.42,39000.0,Michael Kimball,42 Edison Road,None,Manchester,CT,6040.0,448-54-0272,Y,53.0,19.0,Y,5.0,M,Mortgage,MI,71737399.0,XHMQ62339445289593,Bachelor,A,Major Loss,Other,0.0,1.0,DC,Washington,2.0,AGENT00911,VNDR00238
